id,name,province_id
1260,มีนบุรี,151
1238,บ้านฝาง,106
1442,ศรีมโหสถ,142
1295,หนองกี่,132
1155,โคกสูง,113
1296,หนองจอก,151
1733,เกษตรสมบูรณ์,107
1348,โนนศิลา,106
1326,เทพสถิต,107
1501,โพธิ์ตาก,115
1427,รัตนวาปี,115
1747,บางน้ำเปรี้ยว,140
1385,นาจะหลวย,149
1726,บางสะพานน้อย,153
1186,ชัยบุรี,150
1352,ไม้แก่น,110
1360,คลองใหญ่,81
1575,เชียรใหญ่,152
1578,เปือยน้อย,106
1792,เฉลิมพระเกียรติ,82
1179,คลองเตย,151
1569,เกาะลันตา,95
1177,คลองสาน,151
1678,คลองหอยโข่ง,94
1802,เมืองสมุทรสงคราม,147
1584,เมืองสรวง,122
1625,ลาดบัวหลวง,154
1188,ชุมตาบง,131
1688,บ้านเหลื่อม,141
1793,เฉลิมพระเกียรติ,141
1073,บ่อไร่,81
1592,โนนสุวรรณ,132
1091,พระนคร,151
1499,โนนสะอาด,125
1786,บ้านใหม่ไชยพจน์,132
1418,พรหมคีรี,152
1196,ทับคล้อ,102
1197,ทับสะแก,153
1491,เสริมงาม,92
1725,ทรายทองวัฒนา,130
1537,พนมสารคาม,140
1068,บางเขน,151
1211,นาหมื่น,82
1448,สร้างคอม,125
1771,พระสมุทรเจดีย์,146
1506,กุสุมาลย์,105
1447,สระโบสถ์,104
1466,ห้วยขวาง,151
1223,บางซื่อ,151
1224,บางซ้าย,154
1103,ละอุ่น,90
1522,บางคอแหลม,151
1576,เทพารักษ์,141
1727,บำเหน็จณรงค์,107
1683,ทุ่งหัวช้าง,93
1242,บ้านแฮด,106
1509,คอนสวรรค์,107
1568,เกาะพะงัน,150
1246,ปทุมวัน,151
1667,แก่งกระจาน,127
1493,แม่ระมาด,78
1628,วังทองหลาง,151
1425,มวกเหล็ก,112
920,สาทร,151
1415,ป่าพะยอม,101
1409,ปราณบุรี,153
1190,ดงเจริญ,102
1339,แม่วงก์,131
1336,แปลงยาว,140
1613,บางกอกใหญ่,151
1275,วัดเพลง,111
1637,สามร้อยยอด,153
1612,บางกอกน้อย,151
1284,สวนหลวง,151
1404,บ้านแพรก,154
1366,จุฬาภรณ์,152
1591,โนนดินแดง,132
1608,นิคมน้ำอูน,105
994,เขาวง,129
1627,วังทรายพูน,102
1304,หนองแขม,151
1330,เลาขวัญ,128
1220,บางกะปิ,151
1494,โขงเจียม,149
1731,หนองบัวระเหว,107
1324,เด่นชัย,85
1317,เกาะกูด,81
1586,เวียงเก่า,106
1669,แม่ฟ้าหลวง,126
1327,เนินขาม,97
1333,เสิงสาง,141
1334,เอราวัณ,79
1341,แม่เปิน,131
1671,โกสัมพีนคร,130
1485,เมืองยาง,141
1230,บึงกุ่ม,151
1489,เวียงสระ,150
1453,สากเหล็ก,102
1361,ควนกาหลง,84
1363,คันนายาว,151
1370,ดอนมดแดง,149
1430,ลาดพร้าว,151
1703,สัมพันธวงศ์,151
1276,วิภาวดี,150
1629,วังน้ำเย็น,113
1266,ราชเทวี,151
1376,ทวีวัฒนา,151
1650,เกาะจันทร์,96
1691,ราษฎร์บูรณะ,151
1392,บางเสาธง,146
1395,บุ่งคล้า,100
1805,ป้อมปราบศัตรูพ่าย,151
1729,ศรีเชียงใหม่,115
1571,เขาฉกรรจ์,113
1450,สะพานสูง,151
963,พญาไท,151
1457,หนองปรือ,128
1472,เกาะช้าง,81
1634,สนามชัยเขต,140
1264,ยานนาวา,151
1750,หนองหญ้าปล้อง,127
973,มะนัง,84
1606,ท่าตะเกียบ,140
1309,หลักสี่,151
1570,เกาะสีชัง,96
983,วัฒนา,151
1811,พระโขนงเหนือ,151
1812,ตงขวาง,99
