id,name,code,district_id
1652,ป่งไฮ,38150,923
1653,ป่ากอ,82000,1659
1654,ป่าขะ,26110,1076
1655,ป่าคา,55140,1382
1656,ป่าบง,50140,988
1657,ป่าปอ,40110,1244
1658,ป่าเว,84110,933
1659,ผักขะ,27160,1435
1660,ผักตบ,41130,1302
1661,ผาขาว,42240,962
1662,ผางาม,57210,1488
1663,ผาจุก,53000,1780
1664,ผาทอง,55140,1382
1665,ผาปัง,52180,1338
1666,ผาสุก,41110,1356
1667,ผาสุก,41280,1553
1668,ผือฮี,35130,1544
1669,ฝางคำ,34350,1290
1670,พงตึก,70190,1201
1671,พบพระ,63160,964
1672,พยุหะ,60130,1538
1673,พยุห์,33230,965
1674,พรรณา,47130,1539
1675,พระบุ,40320,1092
1676,พรุพี,84120,1529
1677,พรุใน,82160,1318
1678,พร่อน,96110,945
1679,พร่อน,95000,1582
1680,พลิ้ว,22120,1590
1681,พะงาด,30290,1601
1682,พะทาย,48120,1383
1683,พะลาน,34170,950
1684,พะเนา,30000,1795
1685,พะแสง,84230,1528
1686,พังงู,41130,1302
1687,พังลา,90120,985
1688,พันนา,47110,1702
1689,พิกุล,60120,1023
1690,พิชัย,52000,1663
1691,พิบูล,34110,1748
1692,พิปูน,80270,968
1693,พิมพา,24130,1225
1694,พิมาน,48130,912
1695,พิมาน,91000,1583
1696,พิมาย,33170,1535
1697,พิมูล,46170,1468
1698,พิเทน,94140,1605
1699,พุขาม,67130,1695
1700,พุดซา,30000,1795
1701,พุเตย,67130,1695
1702,ภูซาง,56110,970
1703,ภูดิน,46000,1773
1704,ภูฟ้า,55220,1396
1705,มดแดง,72140,1699
1706,มะกอก,51120,1084
1707,มะขาม,22150,972
1708,มะค่า,30160,1159
1709,มะค่า,30220,1161
1710,มะค่า,44150,1598
1711,มะตูม,65150,1540
1712,มะบ้า,45170,1684
1713,มะลวน,84130,1097
1714,มาบแก,60150,1104
1715,มาบแค,73000,1711
1716,มาบไพ,22110,900
1717,มาโมง,96190,1291
1718,มีชัย,43000,1743
1719,มืดกา,50260,1193
1720,มูโนะ,96120,1562
1721,ยะต๊ะ,95140,979
1722,ยะรัง,94160,974
1723,ยะวึก,32190,1510
1724,ยางคำ,45240,1350
1725,ยางคำ,40210,1460
1726,ยายชา,73110,1287
1727,ยี่งอ,96180,975
1728,ระวิง,67000,1783
1729,ระหาน,62210,1614
1730,ระแงง,32110,1445
1731,ระแหง,12140,1693
1732,ระแหง,63000,1483
1733,ระโนด,90140,977
1734,ระโสม,13140,914
1735,รังนก,66140,1286
1736,รัษฎา,83000,1716
1737,รำพัน,22120,1207
1738,รำแดง,90280,1289
1739,ริมกก,57000,1762
1740,ริโก๋,96140,1561
1741,ละทาย,33130,1599
1742,ละลวด,31110,905
1743,ละลาย,33110,1597
1744,ละหาน,36130,1185
1745,ละหาร,96180,975
1746,ละหาร,21140,1247
1747,ละหาร,94110,1288
1748,ละหาร,11110,1523
1749,ละอาย,80150,902
1750,ลาดงา,13110,929
1751,ลาดแค,67150,940
1752,ลาโละ,96150,1268
1753,ลำดวน,31160,1000
1754,ลำดวน,32220,981
1755,ลำทับ,81120,982
1756,ลำปาว,46000,1773
1757,ลำพญา,73130,1069
1758,ลำพยา,73000,1711
1759,ลำพาน,46000,1773
1760,ลำพูน,84120,1529
1761,ลำมูล,30160,1159
1762,ลำเหย,73150,1027
1763,ลำไทร,12130,1269
1764,ลำไทร,13170,1271
1765,ลำไพล,90150,925
1766,ลิพัง,92120,1410
1767,วรนคร,55120,886
1768,วังธง,54000,1585
1769,วังวน,92110,1001
1770,วังวน,65150,1540
1771,วัฒนา,47190,1294
1772,วัดยม,13160,1388
1773,วัดยม,13250,1064
1774,วัดสน,90140,977
1775,วัดแค,73120,1519
1776,วาริน,34250,1730
1777,วิชิต,83000,1716
1778,สงยาง,34250,1730
1779,สงยาง,35130,1544
1780,สบสาย,54000,1293
1781,สบเมย,58110,984
1782,สบโขง,50310,1134
1783,สมอแข,65000,1756
1784,สระคู,45130,1639
1785,สว่าง,45110,1163
1786,สว่าง,34190,1749
1787,สว่าง,47130,1539
1788,สะกอม,90150,925
1789,สะกอม,90130,901
1790,สะกาด,32150,986
1791,สะตอน,22180,1118
1792,สะพลี,86160,960
1793,สะพือ,34130,1681
1794,สะพุง,33240,1443
1795,สะลวง,50180,1145
1796,สะอาด,45230,1500
1797,สะอาด,40140,1057
1798,สะเดา,32230,1061
1799,สะเดา,90120,985
1800,สะเดา,31110,1050
1801,สะเดา,31250,1620
1802,สะเตง,95000,1582
1803,สะเอะ,95000,1354
1804,สะแบง,41130,1302
1805,สังขะ,32150,986
1806,สังคม,43160,987
1807,สันทะ,55150,1052
1808,สานตม,42160,1100
1809,สาบัน,94150,1262
1810,สามกอ,13110,929
1811,สามขา,46110,1676
1812,สามขา,45240,1350
1813,สามผง,48150,1556
1814,สามไถ,13260,1210
1815,สายออ,30220,1161
1816,สารภี,30410,1642
1817,สารภี,34340,1503
1818,สารภี,50140,988
1819,สาวแห,45140,1129
1820,สำราญ,35000,1660
1821,สำราญ,46180,1121
1822,สำราญ,40000,1734
1823,สำโรง,34340,1503
1824,สำโรง,34360,989
1825,สำโรง,40190,1706
1826,สำโรง,33120,1732
